X1,Y1,X2,Y2,X3,Y3,X4,Y4
0.003,0.0398303704867986,0.003,0.0493804454744978,0.003,0,0.003,0
0.01,0.0423325406225164,0.01,0.0449153525436488,0.01,0,0.01,0
0.015,0.0450255671217384,0.015,0.0414325688808948,0.015,0,0.015,0
0.003,0.112498771892108,0.003,0.0455795458238234,0.003,0,0.003,0
0.015,0.118049363426273,0.015,0.0413305040196249,0.015,0,0.015,0
0.026,0.12488152319058,0.026,0.0380861824499196,0.026,0,0.026,0
0.036,0.133510981814932,0.036,0.0358885833921582,0.036,0,0.036,0
0.043,0.142383720804322,0.043,0.0352612351916168,0.043,0,0.008,0.0130603611267854
0.008,0.213165968968524,0.008,0.0417479653204887,0.008,0,0.026,0.0240967051052049
0.026,0.222924682656462,0.026,0.0377148546794894,0.026,0,0.041,0.0372182574977764
0.041,0.234761664880793,0.041,0.0347094474351583,0.041,0.00549137580346185,0.053,0.0528637334869584
0.053,0.248933391310315,0.053,0.0327965929763923,0.053,0.0163912287166683,0.051,0.0641901271371674
0.051,0.257803299527684,0.051,0.0324678707496755,0.051,0.0226656122496803,0.018,0.11229039540876
0.018,0.332984006256747,0.018,0.0378850680419917,0.018,0.0195830941710557,0.042,0.125477837600043
0.042,0.34709590386968,0.042,0.0340707045906124,0.042,0.0310853643905629,0.057,0.139874014135882
0.057,0.36253142006519,0.057,0.0313052124487789,0.057,0.0438763330758061,0.068,0.156320878323158
0.068,0.380071018811313,0.068,0.0296749175675194,0.068,0.058585685173519,0.076,0.172942334105379
0.076,0.397624267564551,0.076,0.0296467318992199,0.076,0.0734620046597908,0.06,0.216917865608639
0.06,0.47458688106946,0.06,0.0303977491685626,0.06,0.076842339775841,0.078,0.232224080997171
0.078,0.49292055650085,0.078,0.0278716193256539,0.078,0.0932822983079513,0.088,0.248488121619335
0.088,0.511808726591776,0.088,0.0265278323149762,0.038,0.0805665394347598,0.038,0.0315408482275935
0.038,0.231515558158153,0.038,0.040448558495675,0.023,0.0220393575210695,0.023,0
0.023,0.164154761134878,0.023,0.0415097476101938,0.049,0.0952033204244016,0.049,0.114970960733581
0.049,0.333381376031432,0.049,0.0375749896955974,0.039,0.0566920426858272,0.039,0.0813733592834839
0.039,0.290851007051361,0.039,0.0381183285000173,0.03,0.0162245838930155,0.03,0.0435509007100011
0.03,0.245358266152003,0.03,0.0371629754037839,0.008,0.00749251914001121,0.008,0
0.008,0.0401462137569567,0.008,0.0683861185158257,0.016,0.00828218237061073,0.016,0
0.016,0.0430455046335195,0.016,0.0657862957677605,0.022,0.00926407905069744,0.022,0
0.022,0.0462302289612955,0.022,0.0643412743536455,0.022,0,0.022,0
0.022,0.114390517107655,0.022,0.0641799080198573,0.034,0,0.034,0
0.034,0.121658907205757,0.034,0.0618105435185243,0.043,0.00514908200693255,0.043,0
0.043,0.129706538973613,0.043,0.060620689540352,0.047,0.0104434250178067,0.047,0
0.047,0.137994312122231,0.047,0.0608470949308936,0.051,0.0161692307951911,0.051,0
0.051,0.146749162406885,0.051,0.0627694491918195,0.053,0.00892647933018029,0.053,0.0215824726917408
0.053,0.219031853139994,0.053,0.0599330033408504,0.074,0.0209873059634214,0.074,0.0375239040835957
0.074,0.234477735306519,0.074,0.0577946628834139,0.08,0.0321552993008646,0.08,0.0526560340165838
0.08,0.248851321513898,0.08,0.0568598978205104,0.082,0.0435121079025544,0.082,0.0684884354925997
0.082,0.263531839976246,0.082,0.057391819525958,0.086,0.0558359256669608,0.086,0.0852638707230224
0.086,0.279188281036242,0.086,0.0596379628172668,0.098,0.0448361963266274,0.098,0.124560964854897
0.098,0.344670559582803,0.098,0.0556491555106743,0.124,0.0657292094088176,0.124,0.145206228787853
0.124,0.368930584213186,0.124,0.053741012404949,0.127,0.0837311907729218,0.127,0.163377058613687
0.127,0.389877874016403,0.127,0.0530615121176951,0.124,0.100636270974086,0.124,0.18107014846377
