X1,Y1,X2,Y2,X3,Y3
0,0,0,0,0,0
0.1,0.135107864892787,0.1,0.000290041095770855,0.1,0.134817823797017
0.2,0.269141946660182,0.2,0.000597586521445485,0.2,0.268544360138736
0.3,0.401020819840913,0.3,0.000923664807666043,0.3,0.400097155033247
0.4,0.529680711332774,0.4,0.00126936142013886,0.4,0.528411349912635
0.5,0.654084122636406,0.5,0.00163582146956019,0.5,0.652448301166845
0.6,0.773228239972868,0.6,0.00202425249319819,0.6,0.77120398747967
0.7,0.886153064215137,0.7,0.00243592730173279,0.7,0.883717136913404
0.8,0.991949194840647,0.8,0.00287218688343741,0.8,0.98907700795721
0.9,1.08976520491129,0.9,0.00333444335607687,0.9,1.08643076155521
1,1.17881454739621,1,0.00382418295498005,1,1.17499036444123
1.1,1.25838193694439,1.1,0.0043429690436061,1.1,1.25403896790078
1.2,1.32782915545796,1.2,0.00489244513054325,1.2,1.32293671032742
1.3,1.38660023447845,1.3,0.00547433787424301,1.3,1.3811258966042
1.4,1.43422597243966,1.4,0.00609046005388481,1.4,1.42813551238577
1.5,1.47032775022156,1.5,0.0067427134815709,1.5,1.46358503673999
1.6,1.49462061411509,1.6,0.00743309182755825,1.6,1.48718752228753
1.7,1.50691560123364,1.7,0.00816368332643095,1.7,1.49875191790721
1.8,1.50712128853378,1.8,0.00893667332799739,1.8,1.49818461520579
1.9,1.4952445528865,1.9,0.00975434665225911,1.9,1.48549020623424
2,1.47139053602034,2,0.0106190897030447,2,1.46077144631729
2.1,1.43576181458679,2.1,0.011533392289843,2.1,1.42422842229695
2.2,1.38865678202474,2.2,0.0124998491020237,2.2,1.37615693292271
2.3,1.33046725527264,2.3,0.0135211607740261,2.3,1.31694609449862
2.4,1.2616753256423,2.4,0.0146001344742737,2.4,1.24707519116802
2.5,1.18284947927646,2.5,0.0157396839445787,2.5,1.16710979533188
2.6,1.09464001851441,2.6,0.0169428289107188,2.6,1.07769718960369
2.7,0.997773821137169,2.7,0.0182126937787718,2.7,0.979561127358397
2.8,0.893048479811932,2.8,0.0195525055258093,2.8,0.873495974286122
